SR_NUMBER;SR_SHORT_CODE;OWNER_DEPARTMENT;STATUS;CREATED_DATE;STREET_NUMBER;STREET_DIRECTION;STREET_NAME;STREET_TYPE;COMMUNITY_AREA;LATITUDE;LONGITUDE
SR20-05579890;AVN;Aviation;Completed;2020-12-06 09:28:12;10510;W;ZEMKE;RD;OHARE;41.994896549;-87.887751654
SR20-05579891;AVN;Aviation;Completed;2020-12-06 09:28:23;10510;W;ZEMKE;RD;OHARE;41.994896549;-87.887751654
SR20-05579892;311IOC;311 City Services;Completed;2020-12-06 09:28:52;2111;W;Lexington;ST;NEAR WEST SIDE;41.871831278;-87.679846219
SR20-05579893;AVN;Aviation;Completed;2020-12-06 09:29:24;10510;W;ZEMKE;RD;OHARE;41.994896549;-87.887751654
SR20-05579894;311IOC;311 City Services;Completed;2020-12-06 09:29:51;2111;W;Lexington;ST;NEAR WEST SIDE;41.871831278;-87.679846219
SR20-05579895;AVN;Aviation;Completed;2020-12-06 09:30:16;10510;W;ZEMKE;RD;OHARE;41.994896549;-87.887751654
SR20-05579896;SIE;Streets and Sanitation;Completed;2020-12-06 09:31:01;5042;W;HURON;ST;AUSTIN;41.893307983;-87.752362475
SR20-05579897;AVN;Aviation;Completed;2020-12-06 09:31:10;10510;W;ZEMKE;RD;OHARE;41.994896549;-87.887751654
SR20-05579898;311IOC;311 City Services;Completed;2020-12-06 09:31:31;2111;W;Lexington;ST;NEAR WEST SIDE;41.871831278;-87.679846219
SR20-05579899;AVN;Aviation;Completed;2020-12-06 09:31:46;10510;W;ZEMKE;RD;OHARE;41.994896549;-87.887751654
SR20-05579900;AVN;Aviation;Completed;2020-12-06 09:32:02;10510;W;ZEMKE;RD;OHARE;41.994896549;-87.887751654
SR20-05579901;311IOC;311 City Services;Completed;2020-12-06 09:32:37;2111;W;Lexington;ST;NEAR WEST SIDE;41.871831278;-87.679846219
SR20-05579902;AVN;Aviation;Completed;2020-12-06 09:32:50;10510;W;ZEMKE;RD;OHARE;41.994896549;-87.887751654
SR20-05579903;AVN;Aviation;Completed;2020-12-06 09:33:40;10510;W;ZEMKE;RD;OHARE;41.994896549;-87.887751654
SR20-05579905;AVN;Aviation;Completed;2020-12-06 09:33:51;10510;W;ZEMKE;RD;OHARE;41.994896549;-87.887751654
SR20-05579906;CST;BACP - Business Affairs and Consumer Protection;Completed;2020-12-06 09:33:52;2333;W;MADISON;ST;NEAR WEST SIDE;41.880408403;-87.686060135
SR20-05579908;AVN;Aviation;Completed;2020-12-06 09:33:59;10510;W;ZEMKE;RD;OHARE;41.994896549;-87.887751654
SR20-05579909;AVN;Aviation;Completed;2020-12-06 09:34:07;10510;W;ZEMKE;RD;OHARE;41.994896549;-87.887751654
SR20-05579911;311IOC;311 City Services;Completed;2020-12-06 09:34:50;2111;W;Lexington;ST;NEAR WEST SIDE;41.871831278;-87.679846219
SR20-05579912;BBA;DOB - Buildings;Completed;2020-12-06 09:35:00;2333;W;MADISON;ST;NEAR WEST SIDE;41.880408403;-87.686060135
SR20-05579913;SKA;Streets and Sanitation;Completed;2020-12-06 09:35:01;2140;W;CHURCHILL;ST;LOGAN SQUARE;41.914827211;-87.68170025
SR20-05579914;AVN;Aviation;Completed;2020-12-06 09:35:23;10510;W;ZEMKE;RD;OHARE;41.994896549;-87.887751654
SR20-05579915;AVN;Aviation;Completed;2020-12-06 09:35:49;10510;W;ZEMKE;RD;OHARE;41.994896549;-87.887751654
SR20-05579916;311IOC;311 City Services;Completed;2020-12-06 09:36:27;2111;W;Lexington;ST;NEAR WEST SIDE;41.871831278;-87.679846219
SR20-05579917;AVN;Aviation;Completed;2020-12-06 09:36:30;10510;W;ZEMKE;RD;OHARE;41.994896549;-87.887751654
SR20-05579918;311IOC;311 City Services;Completed;2020-12-06 09:37:09;2111;W;Lexington;ST;NEAR WEST SIDE;41.871831278;-87.679846219
SR20-05579919;311IOC;311 City Services;Completed;2020-12-06 09:37:11;2111;W;Lexington;ST;UPTOWN;41.974331989;-87.664106359
SR20-05579921;AVN;Aviation;Completed;2020-12-06 09:37:25;10510;W;ZEMKE;RD;OHARE;41.994896549;-87.887751654
SR20-05579925;AVN;Aviation;Completed;2020-12-06 09:38:02;10510;W;ZEMKE;RD;OHARE;41.994896549;-87.887751654
SR20-05579926;311IOC;311 City Services;Completed;2020-12-06 09:38:45;2111;W;Lexington;ST;NEAR WEST SIDE;41.871831278;-87.679846219
SR20-05579927;AVN;Aviation;Completed;2020-12-06 09:38:54;10510;W;ZEMKE;RD;OHARE;41.994896549;-87.887751654
SR20-05579928;311IOC;311 City Services;Completed;2020-12-06 09:39:01;2111;W;Lexington;ST;NEAR WEST SIDE;41.871831278;-87.679846219
SR20-05579929;311IOC;311 City Services;Completed;2020-12-06 09:39:19;2111;W;Lexington;ST;NEAR WEST SIDE;41.871831278;-87.679846219
SR20-05579930;AVN;Aviation;Completed;2020-12-06 09:39:27;10510;W;ZEMKE;RD;OHARE;41.994896549;-87.887751654
SR20-05579931;AVN;Aviation;Completed;2020-12-06 09:39:35;10510;W;ZEMKE;RD;OHARE;41.994896549;-87.887751654
SR20-05579932;311IOC;311 City Services;Completed;2020-12-06 09:39:40;2111;W;Lexington;ST;NEAR SOUTH SIDE;41.85996196;-87.622893606
SR20-05579933;AVN;Aviation;Completed;2020-12-06 09:40:06;10510;W;ZEMKE;RD;OHARE;41.994896549;-87.887751654
SR20-05579934;AVN;Aviation;Completed;2020-12-06 09:40:07;10510;W;ZEMKE;RD;OHARE;41.994896549;-87.887751654
SR20-05579935;AVN;Aviation;Completed;2020-12-06 09:40:18;10510;W;ZEMKE;RD;OHARE;41.994896549;-87.887751654
SR20-05579936;311IOC;311 City Services;Completed;2020-12-06 09:40:22;2111;W;Lexington;ST;NEAR WEST SIDE;41.871831278;-87.679846219
SR20-05579937;AVN;Aviation;Completed;2020-12-06 09:40:41;10510;W;ZEMKE;RD;OHARE;41.994896549;-87.887751654
SR20-05579938;SFB;CDOT - Department of Transportation;Completed;2020-12-06 09:40:49;5678;W;WASHINGTON;BLVD;AUSTIN;41.882200179;-87.768196562
SR20-05579939;AVN;Aviation;Completed;2020-12-06 09:40:50;10510;W;ZEMKE;RD;OHARE;41.994896549;-87.887751654
SR20-05579940;AVN;Aviation;Completed;2020-12-06 09:42:30;10510;W;ZEMKE;RD;OHARE;41.994896549;-87.887751654
SR20-05579941;AVN;Aviation;Completed;2020-12-06 09:43:03;10510;W;ZEMKE;RD;OHARE;41.994896549;-87.887751654
SR20-05579942;AVN;Aviation;Completed;2020-12-06 09:43:46;10510;W;ZEMKE;RD;OHARE;41.994896549;-87.887751654
SR20-05579943;AVN;Aviation;Completed;2020-12-06 09:44:44;10510;W;ZEMKE;RD;OHARE;41.994896549;-87.887751654
SR20-05579944;AVN;Aviation;Completed;2020-12-06 09:44:50;10510;W;ZEMKE;RD;OHARE;41.994896549;-87.887751654
SR20-05579948;311IOC;311 City Services;Completed;2020-12-06 09:47:04;2111;W;Lexington;ST;NEAR WEST SIDE;41.871831278;-87.679846219
SR20-05579951;311IOC;311 City Services;Completed;2020-12-06 09:47:48;2111;W;Lexington;ST;NEAR WEST SIDE;41.871831278;-87.679846219
SR20-05579955;AVN;Aviation;Completed;2020-12-06 09:48:55;10510;W;ZEMKE;RD;OHARE;41.994896549;-87.887751654
SR20-05579956;BBD;DOB - Buildings;Completed;2020-12-06 09:49:00;2652;W;59TH;ST;GAGE PARK;41.786663622;-87.690809557
SR20-05579974;311IOC;311 City Services;Completed;2020-12-06 09:49:24;2111;W;Lexington;ST;NEAR WEST SIDE;41.871831278;-87.679846219
SR20-05579975;311IOC;311 City Services;Completed;2020-12-06 09:49:40;2111;W;Lexington;ST;NEAR WEST SIDE;41.871831278;-87.679846219
SR20-05579977;311IOC;311 City Services;Completed;2020-12-06 09:50:20;2111;W;Lexington;ST;NEAR WEST SIDE;41.871831278;-87.679846219
SR20-05579978;GRAF;Streets and Sanitation;Completed;2020-12-06 09:50:52;2608;W;51ST;ST;GAGE PARK;41.801334407;-87.689601378
SR20-05579979;AVN;Aviation;Completed;2020-12-06 09:51:24;10510;W;ZEMKE;RD;OHARE;41.994896549;-87.887751654
SR20-05579982;311IOC;311 City Services;Completed;2020-12-06 09:51:51;2111;W;Lexington;ST;NEAR WEST SIDE;41.871831278;-87.679846219
SR20-05579983;SEC;Streets and Sanitation;Completed;2020-12-06 09:52:04;4844;W;CHICAGO;AVE;AUSTIN;41.895231782;-87.747638424
SR20-05579984;311IOC;311 City Services;Completed;2020-12-06 09:52:14;2111;W;Lexington;ST;NEAR WEST SIDE;41.871831278;-87.679846219
SR20-05579987;311IOC;311 City Services;Completed;2020-12-06 09:53:17;2111;W;Lexington;ST;NEAR WEST SIDE;41.871831278;-87.679846219
SR20-05579988;311IOC;311 City Services;Completed;2020-12-06 09:53:35;2111;W;Lexington;ST;NEAR WEST SIDE;41.871831278;-87.679846219
SR20-05579991;311IOC;311 City Services;Completed;2020-12-06 09:54:50;2111;W;Lexington;ST;NEAR WEST SIDE;41.871831278;-87.679846219
SR20-05579992;311IOC;311 City Services;Completed;2020-12-06 09:54:59;2111;W;Lexington;ST;NEAR WEST SIDE;41.871831278;-87.679846219
SR20-05579993;311IOC;311 City Services;Completed;2020-12-06 09:56:00;2111;W;Lexington;ST;NEAR WEST SIDE;41.871831278;-87.679846219
SR20-05579994;311IOC;311 City Services;Completed;2020-12-06 09:56:01;2111;W;Lexington;ST;AUBURN GRESHAM;41.753852001;-87.665666144
SR20-05579995;AVN;Aviation;Completed;2020-12-06 09:56:58;10510;W;ZEMKE;RD;OHARE;41.994896549;-87.887751654
SR20-05579996;AVN;Aviation;Completed;2020-12-06 09:57:22;10510;W;ZEMKE;RD;OHARE;41.994896549;-87.887751654
SR20-05579999;311IOC;311 City Services;Completed;2020-12-06 09:57:56;2111;W;Lexington;ST;NEAR WEST SIDE;41.871831278;-87.679846219
SR20-05580000;AVN;Aviation;Completed;2020-12-06 09:57:59;10510;W;ZEMKE;RD;OHARE;41.994896549;-87.887751654
