Unique Key;Created Date;Agency Name;Complaint Type;Incident Address;Status;Borough;Latitude;Longitude
61810298;2024-07-15 17:48:26;HPD;UNSANITARY CONDITION;790 ELDERT LANE;Closed;BROOKLYN;40.67055409879978;-73.8631053928292
61810296;2024-07-15 19:52:25;HPD;UNSANITARY CONDITION;134-38 MAPLE AVENUE;Closed;QUEENS;40.75486164419599;-73.82968208459589
61810304;2024-07-15 21:56:51;HPD;PLUMBING;1241 EAST   85 STREET;Closed;BROOKLYN;40.63224756727094;-73.90334791651068
61810311;2024-07-15 15:47:07;HPD;WATER LEAK;45 TENNIS COURT;Closed;BROOKLYN;40.64859119272554;-73.96128934169823
61810316;2024-07-15 16:56:54;HPD;UNSANITARY CONDITION;2049 WEBSTER AVENUE;Closed;BRONX;40.851250096662696;-73.89881138926029
61810317;2024-07-15 23:30:55;HPD;UNSANITARY CONDITION;1784 LINDEN BOULEVARD;Closed;BROOKLYN;40.65774615749246;-73.89649548777841
61810322;2024-07-15 16:40:12;HPD;UNSANITARY CONDITION;1078 PROSPECT PLACE;Closed;BROOKLYN;40.67379323513702;-73.940722406753
61810324;2024-07-15 21:29:16;HPD;UNSANITARY CONDITION;1075 UTICA AVENUE;Closed;BROOKLYN;40.646786708895746;-73.92984197730502
61810328;2024-07-15 20:04:50;HPD;UNSANITARY CONDITION;500 1/2 EAST   84 STREET;Closed;MANHATTAN;40.77445513607864;-73.94773823731342
61810332;2024-07-15 10:50:09;HPD;UNSANITARY CONDITION;225 EAST   63 STREET;Closed;MANHATTAN;40.76375963167554;-73.96403091090507
61810329;2024-07-15 11:29:50;HPD;UNSANITARY CONDITION;547 EAST  168 STREET;Closed;BRONX;40.83085683205033;-73.90519140603094
61810338;2024-07-15 08:20:12;HPD;WATER LEAK;741 COSTER STREET;Closed;BRONX;40.81522635243231;-73.88763066874677
61810336;2024-07-15 10:29:53;HPD;UNSANITARY CONDITION;2591 BRIGGS AVENUE;Closed;BRONX;40.86395050928992;-73.89346304512874
